"trial","algo","init_dopt","iters","time","final_dopt"
1,"fedorov",52.8039261506877,19,36242.089,124.165813625006
1,"genetic",52.8039261506877,500,1298.516,95.0073309768932
2,"fedorov",64.5904801736828,22,21446.851,124.502988147592
2,"genetic",64.5904801736828,500,1319.29399999999,95.8742138036024
3,"fedorov",72.1844354872349,19,18977.342,124.717414147582
3,"genetic",72.1844354872349,500,1455.09299999999,94.2773111273935
4,"fedorov",66.1473969341748,18,35813.125,124.558705589621
4,"genetic",66.1473969341748,500,1489.53399999999,99.1801883531213
5,"fedorov",51.3197519554706,19,36785.914,124.528789552798
5,"genetic",51.3197519554706,500,1600.38,92.343022555557
6,"fedorov",51.2922500630805,21,41109.66,124.874721427581
6,"genetic",51.2922500630805,500,1497.28000000003,95.5408914837439
7,"fedorov",64.3855408251187,18,33728.336,124.112999057846
7,"genetic",64.3855408251187,500,1560.75,92.2409592178132
8,"fedorov",62.1156039250679,18,34145.948,124.502988147592
8,"genetic",62.1156039250679,500,1531.614,99.5623265735556
9,"fedorov",57.2479887661315,21,39861.283,124.112999057846
9,"genetic",57.2479887661315,500,1585.53700000001,94.1230191859118
10,"fedorov",63.2815812923339,17,31840.025,124.264010230195
10,"genetic",63.2815812923339,500,1567.04399999999,94.7877239571999
11,"fedorov",55.6719861242742,20,37281.889,124.874721427581
11,"genetic",55.6719861242742,500,1569.36300000001,100.193698932493
12,"fedorov",53.1709909584838,21,41275.14,124.528789552798
12,"genetic",53.1709909584838,500,1651.34399999992,105.368347247763
13,"fedorov",64.4860603840419,20,39825.251,124.295638971337
13,"genetic",64.4860603840419,500,1686.21699999995,91.8695405436317
14,"fedorov",56.868832339688,23,44061.4140000001,124.502988147592
14,"genetic",56.868832339688,500,1679.33900000004,97.6351619874311
15,"fedorov",61.4292137322483,17,34250.7490000001,124.112999057846
15,"genetic",61.4292137322483,500,1681.19499999995,99.6890079426732
16,"fedorov",65.7603261954658,16,32571.616,124.158702919337
16,"genetic",65.7603261954658,500,1835.772,102.611070035166
17,"fedorov",74.7319256964076,15,31099.072,124.031182453315
17,"genetic",74.7319256964076,500,1655.054,95.8783206895727
18,"fedorov",57.3295653181364,24,48413.5290000001,124.558705589621
18,"genetic",57.3295653181364,500,1354.48900000006,99.539871731644
19,"fedorov",66.0228396830225,25,51364.716,124.558705589621
19,"genetic",66.0228396830225,500,1650.98399999994,99.5588892154436
20,"fedorov",54.9452745477225,16,31646.1529999999,123.991793046464
20,"genetic",54.9452745477225,500,1605.59999999998,95.7796616276364
21,"fedorov",64.3894007580494,19,37613.9280000001,124.796241289033
21,"genetic",64.3894007580494,500,1635.11400000006,99.1531862922367
22,"fedorov",66.2441898546904,18,36518.7069999999,124.502988147592
22,"genetic",66.2441898546904,500,1494.77299999993,91.8640718183282
23,"fedorov",66.4459479246439,20,39883.8229999999,124.502988147592
23,"genetic",66.4459479246439,500,1758.75900000008,94.8336416167921
24,"fedorov",59.651407883246,18,36854.6399999999,124.502988147592
24,"genetic",59.651407883246,500,1662.10200000019,97.6562426408275
25,"fedorov",61.1316004825781,19,39573.1850000001,124.558705589621
25,"genetic",61.1316004825781,500,1740.48699999996,93.2790450615709
