"trial","algo","init_dopt","iters","time","final_dopt"
1,"fedorov",-76.1353763658394,20,37420.74,-21.3282618524079
1,"genetic",-76.1353763658394,500,1452.06600000005,-37.2022210556796
2,"fedorov",-79.3721601875363,17,32901.169,-22.0741766434997
2,"genetic",-79.3721601875363,500,1579.14900000003,-40.1748159013406
3,"fedorov",-81.1575590754336,19,35548.011,-21.7062289777415
3,"genetic",-81.1575590754336,500,1533.15700000001,-42.3688805452572
4,"fedorov",-66.1819059268284,20,36449.839,-21.3791419154984
4,"genetic",-66.1819059268284,500,1526.092,-40.0978740222681
5,"fedorov",-62.8574992101895,20,36470.5,-23.8000675466846
5,"genetic",-62.8574992101895,500,1661.52100000001,-42.9955812410065
6,"fedorov",-83.0478271744052,20,36444.526,-21.1138358524177
6,"genetic",-83.0478271744052,500,1551.53999999998,-37.8114866570625
7,"fedorov",-79.9359749153384,20,36186.988,-19.7182509421536
7,"genetic",-79.9359749153384,500,1574.06799999997,-37.6684375431358
8,"fedorov",-82.115506762223,18,32179.861,-19.3282618524079
8,"genetic",-82.115506762223,500,1546.92300000001,-40.385308070593
9,"fedorov",-59.4678466859147,18,34787.405,-21.2725444103788
9,"genetic",-59.4678466859147,500,1605.18400000001,-40.3043227632524
10,"fedorov",-74.0813066613318,20,38391.8840000001,-19.3282618524079
10,"genetic",-74.0813066613318,500,1625.46999999997,-34.8234927502527
11,"fedorov",-65.2147520955031,21,40549.268,-21.2725444103788
11,"genetic",-65.2147520955031,500,1628.201,-43.5120458731129
12,"fedorov",-68.6324382219778,21,40939.122,-19.3282618524079
12,"genetic",-68.6324382219778,500,1659.92999999993,-34.4382120764927
13,"fedorov",-71.8648256845665,18,35538.715,-20.0957305786197
13,"genetic",-71.8648256845665,500,1557.56299999997,-37.8586870277687
14,"fedorov",-64.0192690774622,21,40326.54,-21.5356110286627
14,"genetic",-64.0192690774622,500,1595.09499999997,-38.8619606101474
15,"fedorov",-71.036324662363,21,41608.534,-21.3024604472016
15,"genetic",-71.036324662363,500,1315.03499999992,-35.5791019439968
16,"fedorov",-78.2777032115817,21,41878.7070000001,-19.5672397698045
16,"genetic",-78.2777032115817,500,1946.48199999996,-44.3913224016793
17,"fedorov",-75.0822645439856,20,39014.551,-19.6020965972107
17,"genetic",-75.0822645439856,500,1588.10900000005,-37.4413821640599
18,"fedorov",-84.6915348520476,18,34205.018,-21.3791419154984
18,"genetic",-84.6915348520476,500,1612.37899999996,-33.995741236904
19,"fedorov",-74.2174220854134,21,40798.028,-21.7411471254356
19,"genetic",-74.2174220854134,500,1479.38300000003,-33.6428342460229
20,"fedorov",-73.3705013722282,20,38815.0460000001,-21.4201185065424
20,"genetic",-73.3705013722282,500,1625.10899999994,-32.7467863024208
21,"fedorov",-70.3246860421284,23,43700.2549999999,-21.6725470806629
21,"genetic",-70.3246860421284,500,1611.45200000005,-39.3315180430107
22,"fedorov",-66.3889664204205,22,40665.389,-22.9565285724194
22,"genetic",-66.3889664204205,500,1401.87900000019,-41.9068445464835
23,"fedorov",-81.2096722992256,20,22349.662,-19.3282618524079
23,"genetic",-81.2096722992256,500,1387.75900000008,-38.7178062849157
24,"fedorov",-82.6177627589455,23,26233.875,-21.3282618524079
24,"genetic",-82.6177627589455,500,1426.6540000001,-36.9713212829612
25,"fedorov",-78.010425050655,20,20346.7380000001,-21.3024604472016
25,"genetic",-78.010425050655,500,1342.37700000009,-39.5611804582527
