"trial","algo","init_dopt","iters","time","final_dopt"
1,"fedorov",62.3328869029831,9,11.2289999999994,131.037069710445
1,"genetic",62.3328869029831,250,165.837999999996,131.037069710445
2,"fedorov",48.9358455146108,10,10.0400000000009,131.037069710445
2,"genetic",48.9358455146108,250,173.187000000005,131.037069710445
3,"fedorov",82.3566534315983,9,11.2649999999994,131.037069710445
3,"genetic",82.3566534315983,250,179.975999999995,131.037069710445
4,"fedorov",69.5162220815155,8,9.92799999999988,131.037069710445
4,"genetic",69.5162220815155,250,175.665000000001,131.037069710445
5,"fedorov",81.3853758940804,8,9.83600000000297,131.037069710445
5,"genetic",81.3853758940804,250,177.123000000007,131.037069710445
6,"fedorov",82.9285929608437,6,6.73600000000442,131.037069710445
6,"genetic",82.9285929608437,250,151.377999999997,131.037069710445
7,"fedorov",87.2441505863611,8,7.09599999999045,131.037069710445
7,"genetic",87.2441505863611,250,149.497000000003,131.037069710445
8,"fedorov",64.9061762731388,7,6.40099999999802,131.037069710445
8,"genetic",64.9061762731388,250,152.066000000006,131.037069710445
9,"fedorov",92.4067723964214,8,7.61199999999371,131.037069710445
9,"genetic",92.4067723964214,250,152.187999999995,131.037069710445
10,"fedorov",70.5777021660771,9,8.35599999999977,131.037069710445
10,"genetic",70.5777021660771,250,154.202999999994,131.037069710445
11,"fedorov",94.4940787421155,6,5.64900000000489,131.037069710445
11,"genetic",94.4940787421155,250,154.490999999995,131.037069710445
12,"fedorov",78.9544949707047,8,7.26399999999558,131.037069710445
12,"genetic",78.9544949707047,250,151.164000000004,131.037069710445
13,"fedorov",73.8242572953061,9,8.25,131.037069710445
13,"genetic",73.8242572953061,250,153.078000000009,131.037069710445
14,"fedorov",88.0912341508111,6,5.58100000000559,131.037069710445
14,"genetic",88.0912341508111,250,155.589999999997,131.037069710445
15,"fedorov",70.3153291042732,10,9.26800000001094,131.037069710445
15,"genetic",70.3153291042732,250,151.023000000001,131.037069710445
16,"fedorov",75.6881118313888,9,8.33299999999872,131.037069710445
16,"genetic",75.6881118313888,250,149.407999999996,131.037069710445
17,"fedorov",69.5162220815155,6,6.02599999999802,131.037069710445
17,"genetic",69.5162220815155,250,151.911000000007,131.037069710445
18,"fedorov",71.6081789497805,7,9.58699999999953,131.037069710445
18,"genetic",71.6081789497805,250,150.729000000007,131.037069710445
19,"fedorov",63.9653743364006,9,11.2530000000115,131.037069710445
19,"genetic",63.9653743364006,250,152.353000000003,131.037069710445
20,"fedorov",76.8079206421462,7,8.85899999999674,131.037069710445
20,"genetic",76.8079206421462,250,150.694000000003,131.037069710445
21,"fedorov",74.7678003715111,9,10.9339999999938,131.037069710445
21,"genetic",74.7678003715111,250,150.660000000003,131.037069710445
22,"fedorov",87.2441505863611,8,10.5589999999938,131.037069710445
22,"genetic",87.2441505863611,250,152.175999999992,131.037069710445
23,"fedorov",80.9902950319371,8,9.44400000000314,131.037069710445
23,"genetic",80.9902950319371,250,150.27399999999,131.037069710445
24,"fedorov",70.5777021660771,9,9.92799999999988,131.037069710445
24,"genetic",70.5777021660771,250,151.478000000003,131.037069710445
25,"fedorov",55.1750620305263,10,11.7930000000051,131.037069710445
25,"genetic",55.1750620305263,250,154.672000000006,131.037069710445
26,"fedorov",71.6081789497805,9,8.54000000000815,131.037069710445
26,"genetic",71.6081789497805,250,157.685000000012,131.037069710445
27,"fedorov",93.3127789204312,7,9.5109999999986,131.037069710445
27,"genetic",93.3127789204312,250,187.449000000008,131.037069710445
28,"fedorov",70.3153291042732,9,11.2890000000043,131.037069710445
28,"genetic",70.3153291042732,250,165.468000000008,131.037069710445
29,"fedorov",91.0134927463167,7,6.30100000000675,131.037069710445
29,"genetic",91.0134927463167,250,153.138999999996,131.037069710445
30,"fedorov",71.3533434173108,8,7.27900000000955,131.037069710445
30,"genetic",71.3533434173108,250,153.149999999994,131.037069710445
31,"fedorov",74.7678003715111,9,8.35599999999977,131.037069710445
31,"genetic",74.7678003715111,250,152.752999999997,131.037069710445
32,"fedorov",77.6808126488465,7,6.21899999999732,131.037069710445
32,"genetic",77.6808126488465,250,153.489000000001,131.037069710445
33,"fedorov",70.3153291042732,9,8.19000000000233,131.037069710445
33,"genetic",70.3153291042732,250,152.395999999993,131.037069710445
34,"fedorov",56.429467943425,9,8.26699999999255,131.037069710445
34,"genetic",56.429467943425,250,151.834000000003,131.037069710445
35,"fedorov",52.4792056726051,8,7.35000000000582,131.037069710445
35,"genetic",52.4792056726051,250,152.991999999998,131.037069710445
36,"fedorov",56.429467943425,10,9.20300000000861,131.037069710445
36,"genetic",56.429467943425,250,153.857000000004,131.037069710445
37,"fedorov",44.1293541915758,10,9.15600000000268,131.037069710445
37,"genetic",44.1293541915758,250,150.953000000009,131.037069710445
38,"fedorov",79.5762095052112,7,6.1299999999901,131.037069710445
38,"genetic",79.5762095052112,250,151.809999999998,131.037069710445
39,"fedorov",81.3853758940804,9,8.19599999999627,131.037069710445
39,"genetic",81.3853758940804,250,155.002999999997,131.037069710445
40,"fedorov",88.0912341508111,8,7.16099999999278,131.037069710445
40,"genetic",88.0912341508111,250,152.52900000001,131.037069710445
41,"fedorov",84.4164177086728,8,7.22800000000279,131.037069710445
41,"genetic",84.4164177086728,250,152.998999999996,131.037069710445
42,"fedorov",42.7493986669174,8,7.23199999998906,131.037069710445
42,"genetic",42.7493986669174,250,153.965000000011,131.037069710445
43,"fedorov",45.4280148208035,8,7.29299999999057,131.037069710445
43,"genetic",45.4280148208035,250,152.578000000009,131.037069710445
44,"fedorov",60.2535566043808,8,7.14999999999418,131.037069710445
44,"genetic",60.2535566043808,250,151.154999999999,131.037069710445
45,"fedorov",63.6455421207436,9,8.09299999999348,131.037069710445
45,"genetic",63.6455421207436,250,149.756999999998,131.037069710445
46,"fedorov",78.5345163097848,9,8.10800000000745,131.037069710445
46,"genetic",78.5345163097848,250,154.667000000001,131.037069710445
47,"fedorov",87.9231206999708,7,6.16800000000512,131.037069710445
47,"genetic",87.9231206999708,250,155.509000000005,131.037069710445
48,"fedorov",78.9544949707047,9,8.23500000000058,131.037069710445
48,"genetic",78.9544949707047,250,151.701000000001,131.037069710445
49,"fedorov",84.2333012600667,9,8.23799999999756,131.037069710445
49,"genetic",84.2333012600667,250,152.582000000009,131.037069710445
50,"fedorov",62.6662241870573,9,8.24599999999919,131.037069710445
50,"genetic",62.6662241870573,250,152.728000000003,131.037069710445
51,"fedorov",80.9902950319371,8,7.21700000000419,131.037069710445
51,"genetic",80.9902950319371,250,152.842999999993,131.037069710445
52,"fedorov",78.9544949707047,8,7.43300000000454,131.037069710445
52,"genetic",78.9544949707047,250,153.521999999997,131.037069710445
53,"fedorov",93.6109048402314,7,6.28699999999662,131.037069710445
53,"genetic",93.6109048402314,250,151.281000000003,131.037069710445
54,"fedorov",76.8079206421462,9,8.12900000000081,131.037069710445
54,"genetic",76.8079206421462,250,151.611999999994,131.037069710445
55,"fedorov",70.5777021660771,8,7.25800000000163,131.037069710445
55,"genetic",70.5777021660771,250,154.701000000001,131.037069710445
56,"fedorov",71.3533434173108,8,7.11000000000058,131.037069710445
56,"genetic",71.3533434173108,250,153.786999999997,131.037069710445
57,"fedorov",80.7913008761956,8,7.29200000000128,131.037069710445
57,"genetic",80.7913008761956,250,152.022000000012,131.037069710445
58,"fedorov",81.3853758940804,9,8.22400000000198,131.037069710445
58,"genetic",81.3853758940804,250,151.193999999989,131.037069710445
59,"fedorov",91.0134927463167,7,6.31700000001001,131.037069710445
59,"genetic",91.0134927463167,250,152.915999999997,131.037069710445
60,"fedorov",73.8242572953061,7,6.34500000000116,131.037069710445
60,"genetic",73.8242572953061,250,152.688999999998,131.037069710445
61,"fedorov",84.2333012600667,7,6.1310000000085,131.037069710445
61,"genetic",84.2333012600667,250,150.831000000006,131.037069710445
62,"fedorov",76.5865709403552,7,6.30399999998917,131.037069710445
62,"genetic",76.5865709403552,250,152.126000000004,131.037069710445
63,"fedorov",72.8559585406432,7,6.17999999999302,131.037069710445
63,"genetic",72.8559585406432,250,152.262000000002,131.037069710445
64,"fedorov",63.6455421207436,7,6.37600000000384,131.037069710445
64,"genetic",63.6455421207436,250,153.760999999999,131.037069710445
65,"fedorov",48.9358455146108,10,9.14699999999721,131.037069710445
65,"genetic",48.9358455146108,250,153.452000000005,131.037069710445
66,"fedorov",87.9231206999708,6,5.27699999998731,131.037069710445
66,"genetic",87.9231206999708,250,154.096999999994,131.037069710445
67,"fedorov",51.0206887739668,7,6.54099999999744,131.037069710445
67,"genetic",51.0206887739668,250,153.751999999993,131.037069710445
68,"fedorov",48.9358455146108,10,9.07200000000012,131.037069710445
68,"genetic",48.9358455146108,250,154.001000000004,131.037069710445
69,"fedorov",80.5913215908364,9,8.23799999999756,131.037069710445
69,"genetic",80.5913215908364,250,151.324000000008,131.037069710445
70,"fedorov",78.9544949707047,9,8.28800000000047,131.037069710445
70,"genetic",78.9544949707047,250,151.580999999991,131.037069710445
71,"fedorov",66.1196559086776,9,8.22699999999895,131.037069710445
71,"genetic",66.1196559086776,250,152.013000000006,131.037069710445
72,"fedorov",61.6553018582617,7,6.25699999999779,131.037069710445
